episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/saha_policy/num_agent_steps_trained,info/learner/saha_policy/num_grad_updates_lifetime,info/learner/saha_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/cma_E_policy/num_agent_steps_trained,info/learner/cma_E_policy/num_grad_updates_lifetime,info/learner/cma_E_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/saha_policy/learner_stats/allreduce_latency,info/learner/saha_policy/learner_stats/grad_gnorm,info/learner/saha_policy/learner_stats/cur_kl_coeff,info/learner/saha_policy/learner_stats/cur_lr,info/learner/saha_policy/learner_stats/total_loss,info/learner/saha_policy/learner_stats/policy_loss,info/learner/saha_policy/learner_stats/vf_loss,info/learner/saha_policy/learner_stats/vf_explained_var,info/learner/saha_policy/learner_stats/kl,info/learner/saha_policy/learner_stats/entropy,info/learner/saha_policy/learner_stats/entropy_coeff,info/learner/cma_E_policy/learner_stats/allreduce_latency,info/learner/cma_E_policy/learner_stats/grad_gnorm,info/learner/cma_E_policy/learner_stats/cur_kl_coeff,info/learner/cma_E_policy/learner_stats/cur_lr,info/learner/cma_E_policy/learner_stats/total_loss,info/learner/cma_E_policy/learner_stats/policy_loss,info/learner/cma_E_policy/learner_stats/vf_loss,info/learner/cma_E_policy/learner_stats/vf_explained_var,info/learner/cma_E_policy/learner_stats/kl,info/learner/cma_E_policy/learner_stats/entropy,info/learner/cma_E_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,0,0,0,117,117,128,128,128,128,43.66669404963714,43.66669404963714,128,128,117,False,0,1,44ef6_00000,2025-07-04_05-18-49,1751577529,2.9323015213012695,2.9323015213012695,12508,Royal,127.0.0.1,2.9323015213012695,1,128,128,117,117,nan,nan,nan,nan,0,0,[],[],2931.296,856.799,2074.497,61.702,0.0,128,128,117,117,21.28,84.03999999999999,[],[],57.0,30.5,29.5,3.0,15.5,14.5,0.0,0.5262112917999426,0.19999999999999993,0.00020000000000000006,9.880560970306396,-0.1224707465696459,10.0,-5.990266799926758e-07,0.015158039286628384,4.772565952936808,0.0,0.0,2.5840672797213,0.20000000000000007,0.00019999999999999996,9.827887471516927,-0.17245313772517773,10.0,9.483098983764648e-05,0.0017022991159971448,3.5818701426188153,0.0
-3216.0,-3216.0,-3216.0,199.0,1,0,0,0,0,245,245,256,256,128,128,17.138989540372137,17.138989540372137,256,128,245,False,1,2,44ef6_00000,2025-07-04_05-18-56,1751577536,7.470365762710571,10.40266728401184,12508,Royal,127.0.0.1,10.40266728401184,2,256,256,245,245,-3216.0,-3216.0,-3216.0,199.0,1,0,[-3216.0],[199],5199.824,880.457,4317.868,29.644,0.0,256,256,245,245,21.61818181818182,84.00000000000001,[-3216.0],[199],57.5,90.5,29.5,2.0,45.5,14.5,0.0,0.5727069000403087,0.19999999999999993,0.00020000000000000006,9.489248816172282,-0.17046725133744378,9.654309924443563,-3.999471664428711e-06,0.027031472319898362,4.726087752978007,0.0,0.0,4.528884855906169,0.10000000000000003,0.00019999999999999996,0.12050601337105035,-0.2140214592218399,0.33384621143341064,0.021965185801188152,0.006812606216408312,3.5743478775024413,0.0
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,373,373,384,384,128,128,45.966329145310446,45.966329145310446,384,128,373,False,1,3,44ef6_00000,2025-07-04_05-18-59,1751577539,2.7856428623199463,13.188310146331787,12508,Royal,127.0.0.1,13.188310146331787,3,384,384,373,373,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],4394.765,839.794,3553.298,36.023,0.0,384,384,373,373,24.525,84.15,[-3216.0],[199],48.5,150.5,29.5,,,,0.0,0.6769702360033989,0.3000000000000001,0.00020000000000000006,9.842270040512085,-0.16498412671498955,10.0,-1.978874206542969e-06,0.02418110118645321,4.704547794659932,0.0,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,501,501,512,512,128,128,46.4467289271695,46.4467289271695,512,128,501,False,1,4,44ef6_00000,2025-07-04_05-19-02,1751577542,2.7578284740448,15.946138620376587,12508,Royal,127.0.0.1,15.946138620376587,4,512,512,501,501,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],3985.035,830.154,3153.376,40.591,0.0,512,512,501,501,18.125,84.17500000000001,[-3216.0],[199],7.0,195.5,14.5,,,,0.0,1.5665467247366904,0.4499999999999999,0.00019999999999999996,9.88322327931722,-0.12443373734131455,10.0,2.507964769999186e-05,0.017015874044348796,4.699960327148437,0.0,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,629,629,640,640,128,128,62.49572633653694,62.49572633653694,640,128,629,False,1,5,44ef6_00000,2025-07-04_05-19-05,1751577545,2.049142837524414,17.995281457901,12508,Royal,127.0.0.1,17.995281457901,5,640,640,629,629,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],3597.656,811.475,2784.766,45.964,0.0,640,640,629,629,29.066666666666663,84.16666666666667,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,757,757,768,768,128,128,66.53203128872674,66.53203128872674,768,128,757,False,1,6,44ef6_00000,2025-07-04_05-19-07,1751577547,1.9259438514709473,19.92122530937195,12508,Royal,127.0.0.1,19.92122530937195,6,768,768,757,757,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],3318.694,804.339,2513.008,50.935,0.0,768,768,757,757,20.3,84.16666666666667,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,885,885,896,896,128,128,68.15694745955938,68.15694745955938,896,128,885,False,1,7,44ef6_00000,2025-07-04_05-19-09,1751577549,1.8810315132141113,21.80225682258606,12508,Royal,127.0.0.1,21.80225682258606,7,896,896,885,885,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],3112.883,792.8,2318.779,55.201,0.0,896,896,885,885,29.8,84.25,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,1013,1013,1024,1024,128,128,62.92602925205039,62.92602925205039,1024,128,1013,False,1,8,44ef6_00000,2025-07-04_05-19-11,1751577551,2.0360870361328125,23.838343858718872,12508,Royal,127.0.0.1,23.838343858718872,8,1024,1024,1013,1013,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],2978.04,787.376,2189.272,58.467,0.0,1024,1024,1013,1013,24.899999999999995,84.33333333333333,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,1141,1141,1152,1152,128,128,65.90209773728373,65.90209773728373,1152,128,1141,False,1,9,44ef6_00000,2025-07-04_05-19-13,1751577553,1.943268060684204,25.781611919403076,12508,Royal,127.0.0.1,25.781611919403076,9,1152,1152,1141,1141,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],2862.955,780.357,2081.361,61.498,0.0,1152,1152,1141,1141,24.666666666666668,84.43333333333334,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3216.0,-3216.0,-3216.0,199.0,0,0,0,0,0,1269,1269,1280,1280,128,128,61.728230220486004,61.728230220486004,1280,128,1269,False,1,10,44ef6_00000,2025-07-04_05-19-15,1751577555,2.074606418609619,27.856218338012695,12508,Royal,127.0.0.1,27.856218338012695,10,1280,1280,1269,1269,-3216.0,-3216.0,-3216.0,199.0,0,0,[-3216.0],[199],2784.02,780.396,2002.511,63.92,0.0,1280,1280,1269,1269,25.433333333333334,84.53333333333333,[-3216.0],[199],,,,,,,,,,,,,,,,,,,,,,,,,,,,
